OBJECTID,A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,STATE,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_RESTUSE,A_HELMUSE,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC,A_DOA
149,3,5,8,5,5,5,7,4,2,1,10067,1,2,2023,2,1,4,3,1,1,2,1,1,1,1
150,4,5,11,7,8,8,10,6,2,1,10068,1,1,2023,1,2,4,2,1,1,2,2,1,1,1
151,3,4,7,4,4,4,6,3,2,1,10069,1,1,2023,1,2,4,3,1,2,3,1,1,1,3
152,3,4,7,4,4,4,6,3,2,1,10069,2,1,2023,1,1,4,1,0,0,0,1,6,1,5
153,3,4,7,4,4,4,6,2,2,1,10070,1,1,2023,1,4,2,1,1,2,3,1,1,1,1
154,2,3,6,3,3,3,5,2,2,1,10070,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
155,3,4,7,4,4,4,6,3,2,1,10071,1,1,2023,1,2,4,2,2,1,1,1,1,1,1
156,4,5,10,6,7,7,9,5,2,1,10071,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
157,3,4,7,4,4,4,6,2,2,1,10072,1,1,2023,1,2,4,2,1,1,2,2,1,1,1
158,3,4,7,4,4,4,6,2,2,1,10073,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
159,3,4,7,4,4,4,6,3,2,1,10073,1,2,2023,2,2,4,3,0,0,0,1,6,1,5
160,3,5,9,6,6,6,8,5,2,1,10073,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
161,4,5,12,7,9,9,11,6,2,1,10073,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
162,4,5,12,7,9,9,11,6,2,1,10073,2,3,2023,2,1,4,3,1,1,2,1,1,1,3
163,4,5,10,6,7,7,9,5,2,1,10073,2,4,2023,2,1,4,3,0,0,0,1,6,1,5
164,3,5,8,5,5,5,7,3,2,1,10074,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
165,3,5,9,6,6,6,8,5,2,1,10074,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
166,4,5,11,7,8,8,10,6,2,1,10074,1,3,2023,2,2,4,3,1,1,2,1,1,1,1
167,3,5,9,6,6,6,8,4,2,1,10074,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
168,3,5,8,5,5,5,7,3,2,1,10074,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
169,3,4,7,4,4,4,6,2,2,1,10075,1,1,2023,1,2,4,2,1,2,3,1,1,1,1
170,3,5,8,5,5,5,7,3,2,1,10075,2,1,2023,1,2,4,3,0,0,0,1,6,1,5
171,3,4,7,4,4,4,6,3,2,1,10076,1,1,2023,1,2,4,3,1,1,2,1,1,1,1
172,3,4,7,4,4,4,6,2,2,1,10076,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
